"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","71","71","71","36401.0000","69.0000","1899.0000","555.8345","838.0000","59.0000","290.2378"
"2","1","2","71","71","71","38901.0000","69.0000","1883.0000","537.7657","872.0000","58.0000","305.8366"
"3","1","3","71","71","71","39481.0000","69.0000","1905.0000","588.1853","896.0000","60.0000","309.6740"
"4","1","4","71","71","71","39220.0000","69.0000","1855.0000","620.1435","868.0000","60.0000","318.3928"
"5","1","5","71","71","71","37928.0000","69.0000","1842.0000","576.5449","804.0000","58.0000","303.7795"
"6","1","6","71","71","71","37463.0000","69.0000","1830.0000","549.2868","866.0000","59.0000","296.6345"
"7","1","7","71","71","71","39017.0000","69.0000","1915.0000","575.0826","872.0000","59.0000","309.6546"
"8","1","8","71","71","71","37911.0000","69.0000","1903.0000","559.1565","860.0000","59.0000","303.8157"
"9","1","9","71","71","71","37838.0000","69.0000","1942.0000","547.3609","844.0000","58.0000","305.1360"
"10","1","10","71","71","71","39659.0000","69.0000","1880.0000","587.4674","888.0000","60.0000","315.9050"
"11","1","11","71","71","71","35676.0000","69.0000","1891.0000","541.2707","802.0000","60.0000","283.6054"
"12","1","12","71","71","71","40290.0000","69.0000","1875.0000","594.4510","900.0000","60.0000","319.2679"
"13","1","13","71","71","71","38825.0000","69.0000","1919.0000","582.6817","880.0000","60.0000","306.7181"
"14","1","14","71","71","71","37742.0000","69.0000","1806.0000","563.2033","864.0000","60.0000","302.7573"
"15","1","15","71","71","71","38136.0000","68.0000","1796.0000","540.2203","860.0000","59.0000","300.8455"
"16","1","16","71","71","71","37128.0000","68.0000","1782.0000","595.5216","884.0000","58.0000","301.5162"
"17","1","17","71","71","71","38431.0000","69.0000","1906.0000","568.1655","868.0000","60.0000","307.3369"
"18","1","18","71","71","71","36000.0000","68.0000","1892.0000","567.5315","840.0000","59.0000","294.3603"
"19","1","19","71","71","71","39198.0000","69.0000","1827.0000","520.2557","858.0000","58.0000","302.4831"
"20","1","20","71","71","71","37248.0000","68.0000","1915.0000","581.3020","878.0000","59.0000","300.3631"
"21","1","21","71","71","71","37597.0000","69.0000","1896.0000","576.8206","874.0000","61.0000","301.0282"
"22","1","22","71","71","71","39135.0000","69.0000","1843.0000","555.2909","872.0000","58.0000","303.8223"
"23","1","23","71","71","71","36781.0000","69.0000","1898.0000","587.7448","878.0000","60.0000","303.6116"
"24","1","24","71","71","71","38619.0000","68.0000","1884.0000","578.6069","880.0000","59.0000","311.0659"
"25","1","25","71","71","71","37808.0000","69.0000","1728.0000","564.6875","810.0000","54.0000","307.0440"
"26","1","26","71","71","71","39181.0000","69.0000","1919.0000","581.9295","878.0000","60.0000","309.7451"
"27","1","27","71","71","71","39191.0000","69.0000","1900.0000","590.4202","888.0000","59.0000","310.8118"
"28","1","28","71","71","71","38938.0000","68.0000","1810.0000","574.2282","860.0000","57.0000","310.0161"
"29","1","29","71","71","71","36229.0000","69.0000","1875.0000","604.5395","858.0000","59.0000","303.2095"
"30","1","30","71","71","71","39169.0000","69.0000","1865.0000","585.5100","894.0000","60.0000","315.2999"
"31","1","31","71","71","71","37075.0000","68.0000","1819.0000","548.1350","862.0000","58.0000","299.7165"
"32","1","32","71","71","71","37547.0000","69.0000","1945.0000","572.3233","866.0000","58.0000","301.4465"
"33","1","33","71","71","71","38979.0000","69.0000","1908.0000","592.5622","892.0000","60.0000","311.4514"
"34","1","34","71","71","71","39240.0000","69.0000","1919.0000","569.0431","866.0000","60.0000","311.0145"
"35","1","35","71","71","71","37785.0000","69.0000","1904.0000","601.4649","888.0000","60.0000","310.9373"
"36","1","36","71","71","71","37856.0000","69.0000","1888.0000","574.1045","870.0000","59.0000","301.4930"
"37","1","37","71","71","71","38070.0000","69.0000","1847.0000","571.8339","898.0000","58.0000","310.5286"
"38","1","38","71","71","71","39221.0000","69.0000","1856.0000","544.1709","848.0000","57.0000","305.1786"
"39","1","39","71","71","71","38220.0000","69.0000","1873.0000","583.6968","878.0000","58.0000","311.4739"
"40","1","40","71","71","71","39260.0000","69.0000","1902.0000","580.1845","850.0000","58.0000","311.3069"
"41","1","41","71","71","71","39122.0000","69.0000","1912.0000","554.9811","878.0000","60.0000","308.1169"
"42","1","42","71","71","71","37084.0000","69.0000","1869.0000","561.7918","862.0000","60.0000","301.2042"
"43","1","43","71","71","71","37554.0000","69.0000","1894.0000","586.3122","878.0000","59.0000","304.1151"
"44","1","44","71","71","71","36567.0000","68.0000","1862.0000","541.8155","832.0000","59.0000","291.6059"
"45","1","45","71","71","71","38065.0000","69.0000","1795.0000","549.1958","822.0000","58.0000","304.1513"
"46","1","46","71","71","71","37896.0000","69.0000","1805.0000","547.9270","870.0000","60.0000","303.8289"
"47","1","47","71","71","71","39337.0000","69.0000","1872.0000","567.7394","884.0000","61.0000","311.5766"
"48","1","48","71","71","71","38917.0000","69.0000","1900.0000","556.5124","866.0000","60.0000","310.0548"
"49","1","49","71","71","71","38407.0000","69.0000","1858.0000","565.2026","836.0000","60.0000","303.0676"
"50","1","50","71","71","71","36579.0000","69.0000","1843.0000","544.3988","828.0000","56.0000","297.1161"
"51","1","51","71","71","71","40152.0000","69.0000","1914.0000","614.4070","896.0000","59.0000","321.7515"
"52","1","52","71","71","71","39059.0000","69.0000","1879.0000","585.6518","892.0000","59.0000","312.4452"
"53","1","53","71","71","71","39666.0000","69.0000","1905.0000","587.5628","878.0000","58.0000","316.8091"
"54","1","54","71","71","71","37464.0000","69.0000","1864.0000","588.2346","848.0000","60.0000","300.2432"
"55","1","55","71","71","71","38332.0000","68.0000","1854.0000","559.1189","872.0000","59.0000","310.1645"
"56","1","56","71","71","71","38848.0000","69.0000","1894.0000","580.9406","876.0000","58.0000","313.0016"
"57","1","57","71","71","71","38793.0000","69.0000","1886.0000","562.7113","882.0000","59.0000","302.4169"
"58","1","58","71","71","71","39299.0000","69.0000","1857.0000","613.2683","906.0000","60.0000","317.8836"
"59","1","59","71","71","71","36673.0000","68.0000","1836.0000","557.1337","822.0000","57.0000","295.8817"
"60","1","60","71","71","71","39348.0000","69.0000","1852.0000","536.1119","852.0000","58.0000","305.7417"
"61","1","61","71","71","71","38845.0000","69.0000","1915.0000","592.9216","894.0000","59.0000","310.2161"
"62","1","62","71","71","71","38983.0000","69.0000","1865.0000","566.7998","868.0000","60.0000","308.0552"
"63","1","63","71","71","71","37825.0000","69.0000","1868.0000","576.5033","878.0000","60.0000","305.6599"
"64","1","64","71","71","71","39042.0000","69.0000","1848.0000","576.1823","870.0000","59.0000","312.6244"
