"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric","Quartet","PathDiffernce","RF(0.5)","MatchingSplit","UMAST"
"1","1","1","71","61","61","23576.0000","59.0000","1330.0000","391.2467","654.0000","47.0000","206.3928","352067.0000","412.8535","58.0000","630.0000","46.0000"
"2","1","2","71","61","61","24427.0000","59.0000","1348.0000","383.7890","656.0000","49.0000","206.2668","356110.0000","408.6857","58.0000","635.0000","47.0000"
"3","1","3","71","61","61","22720.0000","59.0000","1267.0000","394.8620","628.0000","49.0000","207.4223","338636.0000","405.3616","58.0000","589.0000","47.0000"
"4","1","4","71","61","61","25006.0000","59.0000","1340.0000","384.2733","658.0000","50.0000","209.0215","349126.0000","404.1188","58.0000","619.0000","48.0000"
"5","1","5","71","61","61","24380.0000","59.0000","1369.0000","391.1394","650.0000","49.0000","206.7220","353675.0000","413.1537","58.0000","628.0000","49.0000"
"6","1","6","71","61","61","24673.0000","59.0000","1358.0000","391.3132","658.0000","50.0000","209.0837","351895.0000","409.2017","58.0000","631.0000","49.0000"
"7","1","7","71","61","61","24547.0000","58.0000","1350.0000","385.7823","646.0000","49.0000","206.5139","350140.0000","407.5807","57.0000","620.0000","47.0000"
"8","1","8","71","61","61","23711.0000","59.0000","1340.0000","378.2697","642.0000","51.0000","205.9417","345515.0000","398.2110","58.0000","628.0000","48.0000"
"9","1","9","71","61","61","24035.0000","59.0000","1359.0000","388.1469","634.0000","49.0000","203.2781","347492.0000","409.1870","58.0000","614.0000","48.0000"
"10","1","10","71","61","61","24210.0000","59.0000","1317.0000","374.8333","648.0000","49.0000","208.5330","353166.0000","399.4046","58.0000","619.0000","48.0000"
"11","1","11","71","61","61","23186.0000","59.0000","1339.0000","396.5779","616.0000","49.0000","204.5483","334780.0000","403.5839","58.0000","601.0000","47.0000"
"12","1","12","71","61","61","24553.0000","59.0000","1356.0000","399.0263","660.0000","50.0000","209.5805","349983.0000","414.0749","58.0000","640.0000","48.0000"
"13","1","13","71","61","61","24470.0000","59.0000","1349.0000","385.1260","662.0000","50.0000","207.9086","350808.0000","406.3964","58.0000","636.0000","48.0000"
"14","1","14","71","61","61","23219.0000","59.0000","1315.0000","379.2651","614.0000","48.0000","204.8658","332773.0000","392.4564","58.0000","576.0000","46.0000"
"15","1","15","71","61","61","24467.0000","59.0000","1342.0000","362.8223","626.0000","49.0000","204.5336","343652.0000","391.8086","58.0000","603.0000","47.0000"
"16","1","16","71","61","61","23994.0000","58.0000","1329.0000","396.6636","652.0000","49.0000","209.2606","331501.0000","405.2530","57.0000","612.0000","48.0000"
"17","1","17","71","61","61","24058.0000","59.0000","1353.0000","381.6517","624.0000","47.0000","207.3210","343981.0000","395.6766","58.0000","605.0000","46.0000"
"18","1","18","71","61","61","23364.0000","58.0000","1333.0000","382.2748","610.0000","50.0000","203.3027","336360.0000","400.2899","57.0000","593.0000","47.0000"
"19","1","19","71","61","61","24747.0000","59.0000","1356.0000","391.8290","636.0000","51.0000","207.4801","346135.0000","407.3058","58.0000","609.0000","49.0000"
"20","1","20","71","61","61","24456.0000","59.0000","1361.0000","387.3371","662.0000","49.0000","208.6672","350692.0000","406.4480","58.0000","639.0000","49.0000"
"21","1","21","71","61","61","24507.0000","59.0000","1354.0000","397.8417","648.0000","50.0000","208.4418","344467.0000","412.0971","58.0000","622.0000","49.0000"
"22","1","22","71","61","61","24149.0000","59.0000","1351.0000","370.4511","628.0000","48.0000","203.3175","348594.0000","397.0416","58.0000","611.0000","46.0000"
"23","1","23","71","61","61","24478.0000","59.0000","1331.0000","362.2458","652.0000","49.0000","206.3104","347459.0000","393.2684","58.0000","615.0000","48.0000"
"24","1","24","71","61","61","23680.0000","59.0000","1311.0000","385.1545","658.0000","49.0000","206.2523","354666.0000","409.9683","58.0000","636.0000","49.0000"
"25","1","25","71","61","61","24463.0000","59.0000","1339.0000","395.9596","642.0000","48.0000","209.2510","343402.0000","404.2722","58.0000","604.0000","47.0000"
"26","1","26","71","61","61","24257.0000","59.0000","1319.0000","405.9187","650.0000","50.0000","210.7226","347583.0000","412.1092","58.0000","618.0000","49.0000"
"27","1","27","71","61","61","23645.0000","59.0000","1319.0000","391.6708","624.0000","48.0000","205.3241","337275.0000","405.1197","58.0000","583.0000","48.0000"
"28","1","28","71","61","61","23822.0000","59.0000","1319.0000","376.0638","646.0000","48.0000","204.7242","350125.0000","403.4452","58.0000","619.0000","48.0000"
"29","1","29","71","61","61","24369.0000","59.0000","1349.0000","368.2037","652.0000","50.0000","206.5865","352032.0000","398.0553","58.0000","628.0000","49.0000"
"30","1","30","71","61","61","24491.0000","59.0000","1338.0000","394.3374","652.0000","48.0000","210.3854","350614.0000","411.8203","58.0000","629.0000","48.0000"
"31","1","31","71","61","61","21354.0000","59.0000","1219.0000","392.4971","604.0000","49.0000","203.6026","334353.0000","401.3502","58.0000","578.0000","49.0000"
"32","1","32","71","61","61","24017.0000","59.0000","1306.0000","369.1612","632.0000","49.0000","205.5967","340964.0000","393.2531","57.0000","598.0000","48.0000"
"33","1","33","71","61","61","23726.0000","58.0000","1332.0000","377.2082","642.0000","49.0000","207.9327","349305.0000","399.5347","57.0000","616.0000","48.0000"
"34","1","34","71","61","61","24453.0000","59.0000","1358.0000","349.1848","624.0000","50.0000","201.0473","342499.0000","385.6268","58.0000","607.0000","47.0000"
"35","1","35","71","61","61","24379.0000","59.0000","1346.0000","354.5814","630.0000","50.0000","202.8448","345294.0000","386.5876","58.0000","597.0000","47.0000"
"36","1","36","71","61","61","24334.0000","59.0000","1313.0000","375.9521","640.0000","49.0000","206.0291","348973.0000","400.1525","58.0000","608.0000","48.0000"
"37","1","37","71","61","61","24089.0000","58.0000","1339.0000","384.3098","634.0000","49.0000","202.2721","344052.0000","406.1379","57.0000","615.0000","48.0000"
"38","1","38","71","61","61","23752.0000","59.0000","1366.0000","378.7400","610.0000","48.0000","203.7744","340635.0000","393.2022","58.0000","584.0000","47.0000"
"39","1","39","71","61","61","23254.0000","59.0000","1333.0000","377.0066","646.0000","50.0000","205.8543","351356.0000","405.2629","58.0000","623.0000","48.0000"
"40","1","40","71","61","61","25094.0000","59.0000","1351.0000","400.4572","680.0000","50.0000","212.1745","352689.0000","412.8825","58.0000","638.0000","48.0000"
"41","1","41","71","61","61","23890.0000","59.0000","1363.0000","390.0205","650.0000","49.0000","207.5139","346042.0000","405.7733","58.0000","627.0000","48.0000"
"42","1","42","71","61","61","24312.0000","59.0000","1373.0000","369.6052","656.0000","50.0000","206.7269","356506.0000","396.6863","58.0000","636.0000","49.0000"
"43","1","43","71","61","61","24691.0000","59.0000","1356.0000","389.0810","638.0000","50.0000","208.2498","342894.0000","408.3405","58.0000","608.0000","48.0000"
"44","1","44","71","61","61","24873.0000","59.0000","1351.0000","381.2322","650.0000","51.0000","207.0266","346832.0000","404.0792","58.0000","625.0000","49.0000"
"45","1","45","71","61","61","24152.0000","59.0000","1311.0000","381.7984","638.0000","47.0000","207.3596","346774.0000","403.0136","58.0000","601.0000","46.0000"
"46","1","46","71","61","61","23789.0000","59.0000","1326.0000","384.4659","648.0000","48.0000","207.5909","353388.0000","406.4972","58.0000","624.0000","48.0000"
"47","1","47","71","61","61","23828.0000","59.0000","1340.0000","399.4121","656.0000","51.0000","206.7269","350382.0000","416.9916","58.0000","634.0000","49.0000"
"48","1","48","71","61","61","23625.0000","59.0000","1357.0000","379.6577","642.0000","50.0000","203.3912","348498.0000","402.0622","58.0000","629.0000","48.0000"
"49","1","49","71","61","61","24456.0000","59.0000","1317.0000","377.2956","658.0000","48.0000","209.4421","352547.0000","399.6924","58.0000","629.0000","47.0000"
"50","1","50","71","61","61","24058.0000","59.0000","1315.0000","355.6768","626.0000","49.0000","202.2622","346780.0000","386.0414","58.0000","595.0000","48.0000"
"51","1","51","71","61","61","22819.0000","59.0000","1314.0000","395.8914","654.0000","48.0000","205.8640","352984.0000","416.5501","58.0000","633.0000","48.0000"
"52","1","52","71","61","61","24054.0000","59.0000","1383.0000","394.2943","654.0000","50.0000","208.2210","351119.0000","412.4245","58.0000","635.0000","48.0000"
"53","1","53","71","61","61","22833.0000","59.0000","1308.0000","365.4750","632.0000","46.0000","201.5589","345294.0000","396.8375","58.0000","605.0000","45.0000"
"54","1","54","71","61","61","22666.0000","58.0000","1352.0000","390.6328","644.0000","49.0000","205.4653","346946.0000","413.5239","57.0000","632.0000","47.0000"
"55","1","55","71","61","61","24172.0000","59.0000","1374.0000","390.9604","644.0000","50.0000","207.2486","349738.0000","405.9803","58.0000","623.0000","49.0000"
"56","1","56","71","61","61","24401.0000","59.0000","1380.0000","376.6139","664.0000","50.0000","205.8592","356505.0000","404.8926","58.0000","642.0000","49.0000"
