"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","27","27","27","1318.0000","18.0000","155.0000","53.7029","71.0000","12.0000","36.5103"
"2","1","2","27","27","27","1684.0000","18.0000","190.0000","61.1065","88.0000","12.0000","41.5331"
"3","1","3","27","27","27","1414.0000","17.0000","184.0000","59.9833","79.0000","12.0000","40.1871"
"4","1","4","27","27","27","1297.0000","17.0000","175.0000","55.7853","73.0000","12.0000","40.2989"
"5","1","5","27","27","27","1270.0000","17.0000","172.0000","53.4603","67.0000","12.0000","35.5809"
"6","1","6","27","27","27","862.0000","17.0000","119.0000","44.3170","54.0000","12.0000","30.5450"
"7","1","7","27","27","27","1735.0000","18.0000","196.0000","64.3584","94.0000","12.0000","42.5323"
"8","1","8","27","27","27","1285.0000","16.0000","180.0000","55.3534","67.0000","12.0000","35.7211"
"9","1","9","27","27","27","1660.0000","17.0000","173.0000","59.2284","82.0000","10.0000","40.7799"
"10","1","10","27","27","27","1585.0000","14.0000","173.0000","59.5147","69.0000","10.0000","38.2230"
"11","1","11","27","27","27","1672.0000","17.0000","190.0000","60.7454","83.0000","12.0000","40.1248"
"12","1","12","27","27","27","1603.0000","16.0000","173.0000","55.0091","73.0000","10.0000","38.0657"
"13","1","13","27","27","27","1657.0000","17.0000","190.0000","61.6117","90.0000","12.0000","41.2189"
"14","1","14","27","27","27","1720.0000","17.0000","190.0000","61.1228","90.0000","12.0000","43.5546"
"15","1","15","27","27","27","1702.0000","17.0000","190.0000","59.2790","88.0000","12.0000","40.9268"
"16","1","16","27","27","27","1261.0000","17.0000","172.0000","52.2877","65.0000","12.0000","34.3948"
"17","1","17","27","27","27","934.0000","17.0000","135.0000","50.1797","61.0000","12.0000","32.5115"
"18","1","18","27","27","27","694.0000","15.0000","127.0000","40.5956","46.0000","12.0000","22.6716"
"19","1","19","27","27","27","856.0000","17.0000","130.0000","44.2041","55.0000","12.0000","29.6142"
"20","1","20","27","27","27","1402.0000","18.0000","163.0000","57.7927","82.0000","12.0000","40.0000"
"21","1","21","27","27","27","1264.0000","13.0000","129.0000","52.6878","54.0000","9.0000","35.3836"
"22","1","22","27","27","27","1729.0000","18.0000","196.0000","64.4515","97.0000","12.0000","44.5982"
"23","1","23","27","27","27","1735.0000","17.0000","196.0000","64.8845","90.0000","12.0000","42.6497"
"24","1","24","27","27","27","1636.0000","17.0000","190.0000","59.0424","80.0000","12.0000","38.6394"
"25","1","25","27","27","27","913.0000","16.0000","139.0000","49.6991","56.0000","12.0000","30.2655"
"26","1","26","27","27","27","1351.0000","17.0000","180.0000","57.4804","79.0000","12.0000","38.0000"
"27","1","27","27","27","27","1705.0000","16.0000","196.0000","60.9262","81.0000","12.0000","39.3192"
"28","1","28","27","27","27","1690.0000","18.0000","193.0000","64.2651","94.0000","12.0000","41.7493"
"29","1","29","27","27","27","919.0000","17.0000","129.0000","47.3286","57.0000","12.0000","32.2645"
"30","1","30","27","27","27","916.0000","17.0000","127.0000","46.9681","60.0000","12.0000","32.0468"
"31","1","31","27","27","27","1390.0000","17.0000","161.0000","59.2790","76.0000","12.0000","39.3573"
"32","1","32","27","27","27","1675.0000","17.0000","190.0000","61.0901","90.0000","12.0000","41.0853"
"33","1","33","27","27","27","1885.0000","16.0000","199.0000","61.4166","90.0000","12.0000","41.5452"
"34","1","34","27","27","27","1648.0000","17.0000","193.0000","58.2924","79.0000","12.0000","37.3095"
"35","1","35","27","27","27","1600.0000","17.0000","182.0000","54.2033","79.0000","12.0000","37.0405"
"36","1","36","27","27","27","1366.0000","17.0000","166.0000","57.6194","76.0000","12.0000","37.1080"
"37","1","37","27","27","27","1405.0000","16.0000","172.0000","55.1543","72.0000","12.0000","40.3485"
"38","1","38","27","27","27","1660.0000","16.0000","193.0000","59.5483","82.0000","12.0000","38.6782"
"39","1","39","27","27","27","1294.0000","18.0000","147.0000","53.4790","70.0000","12.0000","36.8782"
"40","1","40","27","27","27","244.0000","12.0000","71.0000","33.6155","37.0000","10.0000","19.2094"
"41","1","41","27","27","27","136.0000","11.0000","50.0000","25.4165","31.0000","10.0000","14.1067"
"42","1","42","27","27","27","901.0000","17.0000","130.0000","49.2544","59.0000","12.0000","32.6343"
"43","1","43","27","27","27","1255.0000","16.0000","158.0000","52.1536","61.0000","12.0000","32.7719"
"44","1","44","27","27","27","166.0000","12.0000","56.0000","32.3419","34.0000","11.0000","16.8819"
"45","1","45","27","27","27","1306.0000","17.0000","163.0000","58.3438","70.0000","12.0000","38.3014"
"46","1","46","27","27","27","1273.0000","15.0000","146.0000","51.5170","62.0000","10.0000","34.5543"
"47","1","47","27","27","27","1339.0000","16.0000","161.0000","53.7587","68.0000","12.0000","35.5106"
"48","1","48","27","27","27","1171.0000","17.0000","155.0000","49.6185","55.0000","12.0000","30.0000"
"49","1","49","27","27","27","595.0000","11.0000","96.0000","36.7696","31.0000","9.0000","20.5670"
"50","1","50","27","27","27","1285.0000","16.0000","155.0000","49.6387","63.0000","12.0000","34.0441"
"51","1","51","27","27","27","1315.0000","16.0000","165.0000","52.8961","64.0000","10.0000","34.5977"
"52","1","52","27","27","27","1372.0000","17.0000","163.0000","57.0438","73.0000","12.0000","38.6911"
"53","1","53","27","27","27","1330.0000","17.0000","169.0000","57.3585","70.0000","12.0000","36.0000"
"54","1","54","27","27","27","1837.0000","17.0000","199.0000","58.5491","82.0000","12.0000","38.1838"
"55","1","55","27","27","27","1366.0000","16.0000","166.0000","57.3760","74.0000","12.0000","37.0810"
"56","1","56","27","27","27","1684.0000","17.0000","190.0000","63.5610","88.0000","12.0000","41.4970"
"57","1","57","27","27","27","229.0000","11.0000","65.0000","26.5707","33.0000","10.0000","15.8114"
"58","1","58","27","27","27","877.0000","18.0000","130.0000","47.0956","58.0000","12.0000","31.0966"
"59","1","59","27","27","27","1432.0000","17.0000","169.0000","57.8965","79.0000","12.0000","39.2046"
"60","1","60","27","27","27","1627.0000","16.0000","173.0000","59.3801","76.0000","11.0000","39.2810"
"61","1","61","27","27","27","241.0000","14.0000","79.0000","33.6155","43.0000","11.0000","20.0499"
"62","1","62","27","27","27","1372.0000","18.0000","163.0000","55.0273","77.0000","12.0000","37.8021"
"63","1","63","27","27","27","1252.0000","14.0000","170.0000","52.6878","64.0000","10.0000","35.7631"
"64","1","64","27","27","27","1171.0000","16.0000","147.0000","52.7447","58.0000","10.0000","33.7787"
"65","1","65","27","27","27","940.0000","16.0000","135.0000","52.6878","64.0000","12.0000","34.1760"
"66","1","66","27","27","27","1915.0000","18.0000","199.0000","64.3739","105.0000","12.0000","44.4410"
"67","1","67","27","27","27","1405.0000","17.0000","169.0000","58.6515","77.0000","12.0000","38.4578"
"68","1","68","27","27","27","1330.0000","17.0000","174.0000","53.6470","70.0000","12.0000","37.1618"
"69","1","69","27","27","27","1729.0000","18.0000","190.0000","61.2209","94.0000","12.0000","44.3396"
"70","1","70","27","27","27","1312.0000","16.0000","146.0000","54.5344","67.0000","10.0000","37.5233"
"71","1","71","27","27","27","1210.0000","16.0000","146.0000","46.4758","55.0000","10.0000","31.3528"
"72","1","72","27","27","27","1909.0000","18.0000","199.0000","65.6354","110.0000","12.0000","45.9130"
"73","1","73","27","27","27","778.0000","17.0000","102.0000","42.4735","49.0000","11.0000","28.6880"
