"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","27","27","27","762.0000","13.0000","72.0000","52.7447","38.0000","3.0000","36.7287"
"2","1","2","27","27","27","714.0000","9.0000","72.0000","37.6032","26.0000","3.0000","26.7021"
"3","1","3","27","27","27","102.0000","6.0000","27.0000","19.2354","17.0000","3.0000","13.0384"
"4","1","4","27","27","27","735.0000","10.0000","72.0000","39.3192","29.0000","3.0000","28.6531"
"5","1","5","27","27","27","729.0000","11.0000","72.0000","42.6146","32.0000","3.0000","30.9192"
"6","1","6","27","27","27","735.0000","10.0000","72.0000","39.3192","29.0000","3.0000","28.6531"
"7","1","7","27","27","27","723.0000","10.0000","72.0000","39.6232","29.0000","3.0000","28.8617"
"8","1","8","27","27","27","3.0000","1.0000","1.0000","7.2111","2.0000","1.0000","2.8284"
"9","1","9","27","27","27","105.0000","7.0000","27.0000","24.8193","20.0000","3.0000","15.3623"
"10","1","10","27","27","27","18.0000","3.0000","10.0000","9.3808","8.0000","3.0000","5.6569"
"11","1","11","27","27","27","762.0000","13.0000","72.0000","52.7447","38.0000","3.0000","36.7287"
"12","1","12","27","27","27","597.0000","7.0000","72.0000","33.8231","20.0000","3.0000","20.9762"
"13","1","13","27","27","27","732.0000","12.0000","72.0000","46.3249","35.0000","3.0000","32.7109"
"14","1","14","27","27","27","105.0000","7.0000","27.0000","24.8193","20.0000","3.0000","15.3623"
"15","1","15","27","27","27","102.0000","4.0000","30.0000","25.1794","11.0000","3.0000","13.1529"
"16","1","16","27","27","27","759.0000","12.0000","72.0000","48.3529","35.0000","3.0000","34.7994"
"17","1","17","27","27","27","561.0000","6.0000","72.0000","32.2800","17.0000","3.0000","18.6279"
"18","1","18","27","27","27","87.0000","4.0000","27.0000","15.0333","11.0000","3.0000","8.7750"
"19","1","19","27","27","27","732.0000","12.0000","72.0000","46.3249","35.0000","3.0000","32.7109"
"20","1","20","27","27","27","753.0000","11.0000","72.0000","44.4072","32.0000","3.0000","32.5269"
"21","1","21","27","27","27","18.0000","3.0000","10.0000","9.3808","8.0000","3.0000","5.6569"
"22","1","22","27","27","27","96.0000","5.0000","27.0000","15.4272","14.0000","3.0000","10.6301"
"23","1","23","27","27","27","744.0000","10.0000","72.0000","41.1096","29.0000","3.0000","30.0333"
