"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","27","27","27","850.0000","18.0000","113.0000","51.4198","53.0000","9.0000","32.0468"
"2","1","2","27","27","27","1651.0000","15.0000","172.0000","57.0789","79.0000","9.0000","39.6737"
"3","1","3","27","27","27","1195.0000","16.0000","137.0000","55.0818","65.0000","7.0000","38.3927"
"4","1","4","27","27","27","1342.0000","18.0000","163.0000","59.1777","74.0000","9.0000","40.6325"
"5","1","5","27","27","27","856.0000","16.0000","120.0000","46.5188","50.0000","9.0000","30.6594"
"6","1","6","27","27","27","850.0000","18.0000","113.0000","51.4198","53.0000","9.0000","32.0468"
"7","1","7","27","27","27","1336.0000","14.0000","151.0000","55.9464","62.0000","9.0000","35.4260"
"8","1","8","27","27","27","1381.0000","15.0000","151.0000","54.7540","68.0000","9.0000","36.9188"
"9","1","9","27","27","27","847.0000","17.0000","118.0000","44.3621","56.0000","9.0000","29.9333"
"10","1","10","27","27","27","856.0000","19.0000","118.0000","48.1041","62.0000","9.0000","31.9531"
"11","1","11","27","27","27","910.0000","18.0000","127.0000","58.6686","59.0000","9.0000","36.0555"
"12","1","12","27","27","27","1165.0000","18.0000","146.0000","53.0283","62.0000","9.0000","35.6371"
"13","1","13","27","27","27","1372.0000","16.0000","147.0000","54.9181","68.0000","9.0000","37.3229"
"14","1","14","27","27","27","880.0000","13.0000","107.0000","51.0686","47.0000","8.0000","32.2335"
"15","1","15","27","27","27","778.0000","17.0000","92.0000","47.2229","50.0000","7.0000","31.7648"
"16","1","16","27","27","27","1225.0000","15.0000","145.0000","48.1041","53.0000","9.0000","30.8545"
"17","1","17","27","27","27","922.0000","18.0000","124.0000","52.8015","62.0000","9.0000","36.5923"
"18","1","18","27","27","27","1684.0000","18.0000","172.0000","62.8172","89.0000","9.0000","43.2782"
"19","1","19","27","27","27","1216.0000","13.0000","128.0000","47.8539","50.0000","7.0000","31.3847"
"20","1","20","27","27","27","1354.0000","19.0000","163.0000","55.4617","77.0000","9.0000","39.6232"
"21","1","21","27","27","27","1327.0000","16.0000","145.0000","53.4790","65.0000","9.0000","36.0971"
"22","1","22","27","27","27","712.0000","14.0000","121.0000","43.1045","41.0000","9.0000","26.0000"
"23","1","23","27","27","27","904.0000","19.0000","121.0000","53.3104","59.0000","9.0000","33.8674"
"24","1","24","27","27","27","1342.0000","15.0000","148.0000","53.6097","65.0000","9.0000","35.4824"
"25","1","25","27","27","27","94.0000","8.0000","41.0000","22.4054","20.0000","7.0000","11.5326"
"26","1","26","27","27","27","1360.0000","16.0000","145.0000","55.2087","71.0000","9.0000","38.5616"
"27","1","27","27","27","27","1210.0000","14.0000","145.0000","52.8015","53.0000","9.0000","32.2800"
"28","1","28","27","27","27","1240.0000","15.0000","137.0000","52.4595","56.0000","9.0000","35.7631"
"29","1","29","27","27","27","904.0000","18.0000","124.0000","52.8583","62.0000","9.0000","36.0971"
"30","1","30","27","27","27","850.0000","16.0000","120.0000","43.8178","53.0000","9.0000","30.1330"
"31","1","31","27","27","27","727.0000","13.0000","84.0000","38.6264","38.0000","7.0000","26.3439"
"32","1","32","27","27","27","1252.0000","14.0000","145.0000","50.2593","56.0000","9.0000","33.5261"
"33","1","33","27","27","27","829.0000","15.0000","107.0000","47.8539","50.0000","9.0000","32.2800"
"34","1","34","27","27","27","1285.0000","14.0000","145.0000","51.0490","62.0000","9.0000","33.8969"
"35","1","35","27","27","27","1285.0000","15.0000","145.0000","51.3225","62.0000","9.0000","33.9264"
"36","1","36","27","27","27","661.0000","13.0000","103.0000","43.6578","38.0000","9.0000","26.2869"
"37","1","37","27","27","27","1372.0000","15.0000","147.0000","54.6626","68.0000","9.0000","37.2961"
"38","1","38","27","27","27","1330.0000","15.0000","145.0000","52.2111","66.0000","9.0000","36.2491"
"39","1","39","27","27","27","853.0000","15.0000","109.0000","42.9884","50.0000","9.0000","29.1719"
"40","1","40","27","27","27","1684.0000","18.0000","172.0000","61.4654","83.0000","9.0000","41.2916"
"41","1","41","27","27","27","859.0000","14.0000","117.0000","46.4112","50.0000","9.0000","29.1204"
"42","1","42","27","27","27","859.0000","17.0000","101.0000","48.6621","53.0000","8.0000","34.0881"
"43","1","43","27","27","27","1711.0000","19.0000","172.0000","60.9754","89.0000","9.0000","42.4382"
"44","1","44","27","27","27","1372.0000","19.0000","163.0000","55.8928","77.0000","9.0000","40.0749"
"45","1","45","27","27","27","163.0000","11.0000","55.0000","31.5278","32.0000","9.0000","16.6433"
"46","1","46","27","27","27","1345.0000","18.0000","145.0000","58.3952","72.0000","9.0000","39.4208"
"47","1","47","27","27","27","1684.0000","19.0000","172.0000","63.3877","92.0000","9.0000","44.3396"
"48","1","48","27","27","27","730.0000","16.0000","93.0000","39.2428","44.0000","9.0000","27.0185"
"49","1","49","27","27","27","1705.0000","15.0000","172.0000","59.3970","79.0000","9.0000","40.7922"
"50","1","50","27","27","27","1351.0000","16.0000","148.0000","55.5698","65.0000","9.0000","36.6333"
"51","1","51","27","27","27","1276.0000","16.0000","146.0000","51.5558","62.0000","9.0000","35.0571"
"52","1","52","27","27","27","703.0000","14.0000","110.0000","38.2361","41.0000","9.0000","24.0832"
"53","1","53","27","27","27","1723.0000","19.0000","172.0000","62.8331","92.0000","9.0000","43.6692"
"54","1","54","27","27","27","931.0000","14.0000","126.0000","52.6498","53.0000","9.0000","32.6190"
"55","1","55","27","27","27","1672.0000","18.0000","172.0000","63.0079","89.0000","9.0000","43.3820"
"56","1","56","27","27","27","1354.0000","19.0000","163.0000","55.9464","77.0000","9.0000","39.6232"
"57","1","57","27","27","27","1387.0000","18.0000","147.0000","59.3296","74.0000","9.0000","40.1123"
"58","1","58","27","27","27","1201.0000","15.0000","137.0000","47.2864","50.0000","9.0000","30.2655"
"59","1","59","27","27","27","187.0000","11.0000","56.0000","22.9783","29.0000","8.0000","14.1421"
"60","1","60","27","27","27","1354.0000","17.0000","163.0000","53.9815","68.0000","9.0000","36.7151"
"61","1","61","27","27","27","889.0000","15.0000","115.0000","48.1041","53.0000","9.0000","31.2890"
"62","1","62","27","27","27","850.0000","13.0000","104.0000","46.9894","44.0000","8.0000","29.9333"
"63","1","63","27","27","27","886.0000","15.0000","121.0000","49.4166","50.0000","9.0000","30.2324"
"64","1","64","27","27","27","217.0000","13.0000","71.0000","31.6228","35.0000","9.0000","19.2354"
"65","1","65","27","27","27","889.0000","18.0000","118.0000","49.8999","59.0000","9.0000","33.4813"
"66","1","66","27","27","27","1714.0000","17.0000","172.0000","60.2495","86.0000","9.0000","41.8091"
"67","1","67","27","27","27","697.0000","14.0000","118.0000","38.3406","41.0000","9.0000","24.0416"
"68","1","68","27","27","27","1711.0000","18.0000","172.0000","62.3057","87.0000","9.0000","42.6966"
"69","1","69","27","27","27","880.0000","18.0000","118.0000","50.8920","62.0000","9.0000","34.4384"
"70","1","70","27","27","27","1723.0000","19.0000","172.0000","64.6529","92.0000","9.0000","43.9659"
"71","1","71","27","27","27","1663.0000","16.0000","172.0000","59.2959","86.0000","9.0000","41.0122"
"72","1","72","27","27","27","847.0000","18.0000","118.0000","44.6766","56.0000","9.0000","29.9666"
"73","1","73","27","27","27","1408.0000","19.0000","151.0000","61.0737","77.0000","9.0000","41.0731"
