"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","27","27","27","193.0000","11.0000","55.0000","27.3861","30.0000","6.0000","17.4642"
"2","1","2","27","27","27","739.0000","13.0000","100.0000","38.0526","39.0000","6.0000","27.0000"
"3","1","3","27","27","27","826.0000","15.0000","100.0000","47.2440","48.0000","6.0000","32.7109"
"4","1","4","27","27","27","76.0000","5.0000","31.0000","20.3470","12.0000","4.0000","10.0499"
"5","1","5","27","27","27","817.0000","15.0000","100.0000","46.8615","45.0000","6.0000","31.1609"
"6","1","6","27","27","27","1315.0000","16.0000","127.0000","63.7024","66.0000","6.0000","42.8836"
"7","1","7","27","27","27","703.0000","12.0000","83.0000","36.5787","33.0000","6.0000","24.7790"
"8","1","8","27","27","27","1303.0000","17.0000","127.0000","58.0689","63.0000","6.0000","39.4081"
"9","1","9","27","27","27","823.0000","13.0000","103.0000","44.8330","39.0000","6.0000","28.4956"
"10","1","10","27","27","27","1111.0000","11.0000","127.0000","45.1664","36.0000","6.0000","27.6405"
"11","1","11","27","27","27","1228.0000","15.0000","127.0000","54.0555","54.0000","6.0000","34.8855"
"12","1","12","27","27","27","775.0000","14.0000","100.0000","38.7298","42.0000","6.0000","26.8701"
"13","1","13","27","27","27","1312.0000","17.0000","127.0000","63.5453","63.0000","6.0000","42.5911"
"14","1","14","27","27","27","808.0000","15.0000","100.0000","45.0333","48.0000","6.0000","31.7805"
"15","1","15","27","27","27","724.0000","12.0000","83.0000","37.4166","36.0000","6.0000","26.1534"
"16","1","16","27","27","27","832.0000","15.0000","103.0000","50.5569","45.0000","6.0000","31.5436"
"17","1","17","27","27","27","877.0000","16.0000","100.0000","64.1093","60.0000","6.0000","47.2969"
"18","1","18","27","27","27","1273.0000","15.0000","127.0000","55.4256","60.0000","6.0000","37.1753"
"19","1","19","27","27","27","1288.0000","13.0000","127.0000","51.5752","57.0000","6.0000","36.2077"
"20","1","20","27","27","27","121.0000","8.0000","44.0000","27.6043","21.0000","6.0000","16.0312"
"21","1","21","27","27","27","808.0000","13.0000","100.0000","41.4970","39.0000","6.0000","28.0713"
"22","1","22","27","27","27","1309.0000","16.0000","127.0000","59.4979","60.0000","6.0000","40.9390"
"23","1","23","27","27","27","700.0000","14.0000","100.0000","43.6119","39.0000","6.0000","27.0370"
"24","1","24","27","27","27","787.0000","11.0000","102.0000","40.1995","36.0000","6.0000","26.3818"
"25","1","25","27","27","27","190.0000","9.0000","61.0000","30.0000","24.0000","6.0000","17.3781"
"26","1","26","27","27","27","1285.0000","14.0000","127.0000","51.3809","54.0000","6.0000","35.8608"
"27","1","27","27","27","27","805.0000","15.0000","100.0000","44.8330","45.0000","6.0000","32.8024"
"28","1","28","27","27","27","1321.0000","18.0000","127.0000","64.7148","66.0000","6.0000","43.5660"
"29","1","29","27","27","27","712.0000","13.0000","83.0000","38.1051","36.0000","6.0000","26.4197"
"30","1","30","27","27","27","757.0000","14.0000","100.0000","41.2795","42.0000","6.0000","29.0172"
"31","1","31","27","27","27","667.0000","14.0000","100.0000","48.0000","39.0000","6.0000","27.2029"
"32","1","32","27","27","27","1213.0000","12.0000","127.0000","47.3075","48.0000","6.0000","31.2570"
"33","1","33","27","27","27","1201.0000","15.0000","127.0000","53.6656","51.0000","6.0000","33.9264"
"34","1","34","27","27","27","115.0000","9.0000","38.0000","24.4949","24.0000","6.0000","14.9666"
"35","1","35","27","27","27","784.0000","16.0000","100.0000","42.4971","48.0000","6.0000","29.0689"
"36","1","36","27","27","27","808.0000","15.0000","100.0000","45.0333","48.0000","6.0000","31.7805"
"37","1","37","27","27","27","1303.0000","15.0000","127.0000","54.1664","57.0000","6.0000","38.0920"
"38","1","38","27","27","27","1258.0000","11.0000","127.0000","48.1664","50.0000","6.0000","33.7343"
"39","1","39","27","27","27","121.0000","10.0000","38.0000","30.8869","27.0000","6.0000","17.9722"
"40","1","40","27","27","27","205.0000","9.0000","64.0000","36.1663","24.0000","6.0000","19.9499"
"41","1","41","27","27","27","1294.0000","15.0000","127.0000","52.8205","57.0000","6.0000","37.0135"
"42","1","42","27","27","27","100.0000","7.0000","29.0000","23.7487","18.0000","4.0000","14.1421"
"43","1","43","27","27","27","676.0000","12.0000","100.0000","36.7423","33.0000","6.0000","22.8254"
"44","1","44","27","27","27","1312.0000","15.0000","127.0000","59.6657","63.0000","6.0000","41.2432"
"45","1","45","27","27","27","202.0000","13.0000","55.0000","39.6485","36.0000","6.0000","22.4944"
"46","1","46","27","27","27","190.0000","11.0000","55.0000","33.0454","30.0000","6.0000","19.1833"
"47","1","47","27","27","27","859.0000","16.0000","100.0000","55.5878","51.0000","6.0000","40.0125"
"48","1","48","27","27","27","1312.0000","17.0000","127.0000","59.2959","63.0000","6.0000","40.4228"
"49","1","49","27","27","27","208.0000","12.0000","58.0000","44.3621","33.0000","6.0000","23.7908"
"50","1","50","27","27","27","733.0000","12.0000","83.0000","39.2683","36.0000","6.0000","27.3679"
"51","1","51","27","27","27","106.0000","8.0000","29.0000","30.2985","21.0000","4.0000","17.2916"
"52","1","52","27","27","27","181.0000","9.0000","58.0000","29.5973","24.0000","6.0000","15.9374"
"53","1","53","27","27","27","688.0000","10.0000","74.0000","36.0832","27.0000","4.0000","24.2899"
"54","1","54","27","27","27","193.0000","12.0000","55.0000","29.8998","33.0000","6.0000","18.5472"
"55","1","55","27","27","27","676.0000","12.0000","100.0000","36.7423","33.0000","6.0000","22.8254"
"56","1","56","27","27","27","106.0000","6.0000","35.0000","26.9444","15.0000","4.0000","15.2643"
"57","1","57","27","27","27","766.0000","16.0000","100.0000","48.7647","48.0000","6.0000","32.2645"
"58","1","58","27","27","27","1312.0000","16.0000","127.0000","59.8999","63.0000","6.0000","41.2674"
"59","1","59","27","27","27","1258.0000","12.0000","127.0000","48.4562","54.0000","6.0000","33.7639"
"60","1","60","27","27","27","1288.0000","14.0000","127.0000","51.8459","57.0000","6.0000","36.2353"
"61","1","61","27","27","27","1213.0000","13.0000","127.0000","50.3190","48.0000","6.0000","34.1467"
"62","1","62","27","27","27","874.0000","16.0000","106.0000","59.4475","51.0000","6.0000","38.7556"
"63","1","63","27","27","27","1213.0000","12.0000","127.0000","47.3075","48.0000","6.0000","31.2570"
"64","1","64","27","27","27","712.0000","13.0000","83.0000","38.1051","36.0000","6.0000","26.4197"
"65","1","65","27","27","27","1321.0000","18.0000","127.0000","62.0645","66.0000","6.0000","42.3084"
"66","1","66","27","27","27","703.0000","15.0000","100.0000","48.3115","42.0000","6.0000","28.8617"
"67","1","67","27","27","27","565.0000","8.0000","74.0000","33.8526","21.0000","5.0000","18.9473"
"68","1","68","27","27","27","703.0000","15.0000","100.0000","48.3115","42.0000","6.0000","28.8617"
"69","1","69","27","27","27","1258.0000","12.0000","127.0000","48.4562","54.0000","6.0000","33.7639"
