"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","27","27","27","2005.0000","25.0000","230.0000","88.6679","158.0000","19.0000","51.3030"
"2","1","2","27","27","27","1925.0000","25.0000","229.0000","84.4630","144.0000","19.0000","47.9583"
"3","1","3","27","27","27","2021.0000","25.0000","230.0000","83.3067","150.0000","17.0000","49.5580"
"4","1","4","27","27","27","1892.0000","25.0000","230.0000","90.1110","148.0000","19.0000","49.8999"
"5","1","5","27","27","27","1962.0000","25.0000","228.0000","84.1427","148.0000","18.0000","49.6991"
"6","1","6","27","27","27","2062.0000","25.0000","238.0000","90.9835","158.0000","20.0000","52.0000"
"7","1","7","27","27","27","2011.0000","25.0000","237.0000","90.9395","156.0000","20.0000","50.9117"
"8","1","8","27","27","27","1894.0000","25.0000","215.0000","89.7775","138.0000","17.0000","49.9400"
"9","1","9","27","27","27","2017.0000","25.0000","234.0000","91.3564","148.0000","19.0000","51.3615"
"10","1","10","27","27","27","1994.0000","25.0000","233.0000","89.4763","156.0000","19.0000","51.7687"
"11","1","11","27","27","27","2031.0000","25.0000","237.0000","93.4345","154.0000","19.0000","51.8073"
"12","1","12","27","27","27","2003.0000","25.0000","231.0000","88.6905","154.0000","19.0000","51.2055"
"13","1","13","27","27","27","1894.0000","25.0000","218.0000","81.3265","132.0000","18.0000","48.2908"
"14","1","14","27","27","27","1993.0000","25.0000","228.0000","87.5329","148.0000","18.0000","50.3389"
"15","1","15","27","27","27","1913.0000","25.0000","222.0000","87.7496","148.0000","18.0000","50.9902"
"16","1","16","27","27","27","1863.0000","25.0000","218.0000","81.8780","142.0000","18.0000","48.6004"
"17","1","17","27","27","27","1942.0000","25.0000","225.0000","84.1546","142.0000","18.0000","49.2138"
"18","1","18","27","27","27","1902.0000","25.0000","225.0000","81.6701","140.0000","19.0000","48.1456"
"19","1","19","27","27","27","1995.0000","25.0000","236.0000","92.3905","156.0000","20.0000","51.1664"
"20","1","20","27","27","27","1890.0000","25.0000","222.0000","83.0903","140.0000","19.0000","48.6621"
"21","1","21","27","27","27","2025.0000","25.0000","233.0000","93.0914","154.0000","19.0000","51.9230"
"22","1","22","27","27","27","1699.0000","25.0000","205.0000","83.8689","124.0000","18.0000","46.4543"
"23","1","23","27","27","27","2023.0000","25.0000","232.0000","88.0341","150.0000","18.0000","50.9313"
"24","1","24","27","27","27","2039.0000","25.0000","237.0000","94.0851","156.0000","20.0000","52.1728"
"25","1","25","27","27","27","1960.0000","25.0000","229.0000","92.3363","150.0000","19.0000","51.4782"
"26","1","26","27","27","27","1960.0000","25.0000","223.0000","78.3964","146.0000","18.0000","48.8467"
"27","1","27","27","27","27","1780.0000","25.0000","210.0000","84.3919","138.0000","19.0000","48.7647"
"28","1","28","27","27","27","1923.0000","25.0000","222.0000","84.1665","140.0000","19.0000","48.8876"
"29","1","29","27","27","27","1944.0000","25.0000","231.0000","83.8809","152.0000","20.0000","50.1199"
"30","1","30","27","27","27","1899.0000","25.0000","225.0000","93.7443","146.0000","20.0000","50.6557"
"31","1","31","27","27","27","1964.0000","25.0000","234.0000","91.2579","152.0000","19.0000","50.7937"
"32","1","32","27","27","27","2034.0000","25.0000","239.0000","91.3564","160.0000","21.0000","52.0384"
"33","1","33","27","27","27","1774.0000","25.0000","215.0000","79.6994","132.0000","18.0000","46.8402"
"34","1","34","27","27","27","1907.0000","25.0000","230.0000","85.3932","142.0000","20.0000","48.9898"
"35","1","35","27","27","27","1925.0000","25.0000","225.0000","93.6056","148.0000","18.0000","51.3615"
"36","1","36","27","27","27","2013.0000","25.0000","226.0000","88.7468","148.0000","17.0000","50.4579"
"37","1","37","27","27","27","2058.0000","25.0000","237.0000","90.5428","156.0000","19.0000","51.3809"
"38","1","38","27","27","27","1984.0000","25.0000","233.0000","90.5428","154.0000","20.0000","50.0999"
"39","1","39","27","27","27","1850.0000","25.0000","217.0000","86.8447","136.0000","17.0000","49.1732"
"40","1","40","27","27","27","1949.0000","25.0000","233.0000","88.3855","148.0000","19.0000","49.5177"
"41","1","41","27","27","27","2030.0000","25.0000","229.0000","89.5879","154.0000","18.0000","51.0098"
"42","1","42","27","27","27","1805.0000","25.0000","228.0000","89.3308","140.0000","19.0000","48.3942"
"43","1","43","27","27","27","1910.0000","24.0000","221.0000","77.8203","142.0000","19.0000","47.5605"
"44","1","44","27","27","27","1902.0000","25.0000","226.0000","84.6522","142.0000","18.0000","48.1871"
"45","1","45","27","27","27","1966.0000","25.0000","224.0000","86.2670","154.0000","18.0000","50.4579"
