"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","GeoRooted","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","11","11","11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2","1","2","11","11","11","136.0000","9.0000","33.0000","0.0000","42.5441","48.0000","7.0000","33.5261"
"3","1","3","11","11","11","83.0000","9.0000","17.0000","0.0000","30.5614","30.0000","6.0000","24.0416"
"4","1","4","11","11","11","135.0000","9.0000","29.0000","0.0000","41.8808","46.0000","5.0000","33.5857"
"5","1","5","11","11","11","90.0000","8.0000","23.0000","0.0000","35.1283","34.0000","6.0000","26.1916"
"6","1","6","11","11","11","122.0000","9.0000","27.0000","0.0000","40.2741","44.0000","7.0000","31.5278"
"7","1","7","11","11","11","151.0000","9.0000","38.0000","0.0000","45.9783","58.0000","7.0000","35.9722"
"8","1","8","11","11","11","113.0000","9.0000","26.0000","0.0000","38.3145","42.0000","6.0000","29.4958"
"9","1","9","11","11","11","102.0000","9.0000","22.0000","0.0000","34.9857","32.0000","6.0000","27.8209"
"10","1","10","11","11","11","128.0000","9.0000","27.0000","0.0000","38.4187","38.0000","6.0000","31.4325"
"11","1","11","11","11","11","127.0000","9.0000","32.0000","0.0000","42.2847","46.0000","7.0000","32.3110"
"12","1","12","11","11","11","144.0000","9.0000","34.0000","0.0000","44.6542","52.0000","7.0000","35.0143"
"13","1","13","11","11","11","120.0000","9.0000","27.0000","0.0000","39.0896","40.0000","6.0000","30.8869"
"14","1","14","11","11","11","98.0000","9.0000","24.0000","0.0000","36.4417","30.0000","5.0000","27.3496"
"15","1","15","11","11","11","146.0000","9.0000","35.0000","0.0000","43.5431","46.0000","7.0000","34.7851"
"16","1","16","11","11","11","110.0000","9.0000","22.0000","0.0000","35.0143","32.0000","5.0000","28.6356"
"17","1","17","11","11","11","111.0000","9.0000","26.0000","0.0000","38.3927","36.0000","6.0000","29.8329"
"18","1","18","11","11","11","121.0000","9.0000","29.0000","0.0000","41.1096","44.0000","6.0000","31.7490"
"19","1","19","11","11","11","113.0000","9.0000","22.0000","0.0000","35.2704","32.0000","5.0000","29.1548"
"20","1","20","11","11","11","106.0000","9.0000","22.0000","0.0000","33.8821","32.0000","6.0000","27.8209"
"21","1","21","11","11","11","107.0000","9.0000","24.0000","0.0000","38.5227","42.0000","6.0000","29.5296"
"22","1","22","11","11","11","102.0000","9.0000","24.0000","0.0000","37.2022","36.0000","6.0000","28.0713"
"23","1","23","11","11","11","121.0000","9.0000","28.0000","0.0000","40.5463","42.0000","6.0000","31.4643"
"24","1","24","11","11","11","93.0000","8.0000","18.0000","0.0000","31.6544","30.0000","5.0000","25.8457"
"25","1","25","11","11","11","116.0000","9.0000","27.0000","0.0000","41.2068","50.0000","6.0000","31.2410"
"26","1","26","11","11","11","73.0000","9.0000","17.0000","0.0000","29.2916","28.0000","6.0000","22.0000"
"27","1","27","11","11","11","128.0000","9.0000","29.0000","0.0000","40.0749","42.0000","7.0000","32.0000"
"28","1","28","11","11","11","88.0000","9.0000","19.0000","0.0000","33.3467","34.0000","5.0000","25.8457"
"29","1","29","11","11","11","155.0000","9.0000","39.0000","0.0000","46.0869","58.0000","7.0000","36.2767"
"30","1","30","11","11","11","113.0000","9.0000","24.0000","0.0000","36.5240","36.0000","7.0000","29.2233"
"31","1","31","11","11","11","116.0000","9.0000","25.0000","0.0000","36.9865","38.0000","7.0000","29.6311"
"32","1","32","11","11","11","118.0000","9.0000","28.0000","0.0000","39.6989","40.0000","7.0000","30.7896"
"33","1","33","11","11","11","148.0000","9.0000","35.0000","0.0000","43.9090","50.0000","7.0000","34.8425"
"34","1","34","11","11","11","79.0000","9.0000","17.0000","0.0000","29.4279","26.0000","5.0000","22.8910"
"35","1","35","11","11","11","101.0000","9.0000","24.0000","0.0000","37.3095","32.0000","5.0000","28.4605"
"36","1","36","11","11","11","107.0000","9.0000","24.0000","0.0000","37.3898","36.0000","6.0000","28.7054"
"37","1","37","11","11","11","140.0000","9.0000","33.0000","0.0000","42.9185","44.0000","7.0000","33.8231"
"38","1","38","11","11","11","120.0000","9.0000","28.0000","0.0000","39.7744","38.0000","6.0000","30.8869"
"39","1","39","11","11","11","114.0000","9.0000","23.0000","0.0000","35.3836","34.0000","7.0000","29.0861"
"40","1","40","11","11","11","144.0000","9.0000","32.0000","0.0000","41.3038","42.0000","7.0000","33.7343"
"41","1","41","11","11","11","108.0000","9.0000","25.0000","0.0000","38.3145","42.0000","6.0000","29.1890"
"42","1","42","11","11","11","130.0000","9.0000","30.0000","0.0000","42.6615","50.0000","7.0000","33.0151"
"43","1","43","11","11","11","84.0000","9.0000","19.0000","0.0000","31.4643","28.0000","6.0000","24.2074"
"44","1","44","11","11","11","134.0000","9.0000","32.0000","0.0000","41.9524","44.0000","6.0000","33.1964"
"45","1","45","11","11","11","100.0000","9.0000","23.0000","0.0000","35.2704","30.0000","5.0000","27.8209"
"46","1","46","11","11","11","123.0000","9.0000","33.0000","0.0000","42.1426","46.0000","7.0000","31.7490"
"47","1","47","11","11","11","122.0000","9.0000","27.0000","0.0000","40.3237","44.0000","6.0000","31.6228"
"48","1","48","11","11","11","110.0000","9.0000","25.0000","0.0000","37.6829","34.0000","6.0000","29.5296"
"49","1","49","11","11","11","149.0000","9.0000","35.0000","0.0000","43.5431","50.0000","8.0000","34.7275"
"50","1","50","11","11","11","76.0000","9.0000","21.0000","0.0000","34.0881","34.0000","5.0000","24.4131"
"51","1","51","11","11","11","109.0000","9.0000","24.0000","0.0000","36.9865","38.0000","6.0000","29.2916"
"52","1","52","11","11","11","145.0000","9.0000","33.0000","0.0000","42.6615","48.0000","7.0000","34.4964"
"53","1","53","11","11","11","86.0000","9.0000","19.0000","0.0000","34.3802","36.0000","5.0000","25.7682"
"54","1","54","11","11","11","117.0000","9.0000","25.0000","0.0000","37.6032","36.0000","6.0000","30.3315"
"55","1","55","11","11","11","129.0000","9.0000","32.0000","0.0000","42.4735","44.0000","6.0000","32.7414"
"56","1","56","11","11","11","123.0000","9.0000","29.0000","0.0000","41.9285","50.0000","6.0000","32.1248"
