"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"1","1","1","92","92","92","86539.0000","89.0000","3277.0000","602.2657","1112.0000","76.0000","384.6895"
"2","1","2","92","92","92","81994.0000","90.0000","3270.0000","581.6219","1060.0000","76.0000","362.0580"
"3","1","3","92","92","92","79914.0000","90.0000","3308.0000","600.8977","1078.0000","79.0000","360.9404"
"4","1","4","92","92","92","86928.0000","90.0000","3347.0000","628.7814","1126.0000","80.0000","388.1623"
"5","1","5","92","92","92","81688.0000","90.0000","3382.0000","600.7063","1092.0000","78.0000","369.3372"
"6","1","6","92","92","92","82722.0000","90.0000","3230.0000","635.8286","1100.0000","76.0000","376.8050"
"7","1","7","92","92","92","81132.0000","90.0000","3261.0000","637.0369","1064.0000","77.0000","366.7015"
"8","1","8","92","92","92","83712.0000","89.0000","3357.0000","634.9882","1084.0000","78.0000","377.9683"
"9","1","9","92","92","92","82076.0000","90.0000","3358.0000","613.9707","1104.0000","79.0000","369.8486"
"10","1","10","92","92","92","85579.0000","90.0000","3297.0000","629.1772","1110.0000","78.0000","381.1404"
"11","1","11","92","92","92","83323.0000","90.0000","3387.0000","635.1582","1094.0000","79.0000","377.7301"
"12","1","12","92","92","92","86251.0000","89.0000","3337.0000","621.1280","1166.0000","80.0000","391.0396"
"13","1","13","92","92","92","81709.0000","90.0000","3356.0000","597.5299","1072.0000","78.0000","364.9795"
"14","1","14","92","92","92","85509.0000","89.0000","3348.0000","611.8235","1090.0000","79.0000","379.9316"
"15","1","15","92","92","92","85269.0000","90.0000","3368.0000","635.7153","1126.0000","80.0000","381.9450"
"16","1","16","92","92","92","84200.0000","89.0000","3209.0000","596.4797","1076.0000","75.0000","372.5721"
"17","1","17","92","92","92","89532.0000","90.0000","3399.0000","647.6064","1162.0000","79.0000","401.3303"
"18","1","18","92","92","92","82356.0000","90.0000","3282.0000","603.1567","1076.0000","78.0000","367.0640"
"19","1","19","92","92","92","86066.0000","90.0000","3360.0000","624.6775","1122.0000","79.0000","388.0052"
